DateTime	Latitude	Longitude	Depth	Magnitude
2014-05-19	40.9759	142.0602	66.1	4.6
2014-05-19	30.1104	140.3351	146.03	4.6
2014-05-20	26.7317	140.3114	381.39	4.1
2014-05-21	38.9428	142.6982	35	4.2
2014-05-21	33.5942	131.9293	88.85	4.3
2014-05-22	36.9952	141.1486	44.31	4.2
2014-05-23	37.5235	144.2219	34.92	4.2
2014-05-23	39.5211	143.5711	35	4.5
2014-05-24	26.0591	125.6669	49.57	4.5
2014-05-24	25.8749	125.7438	55.61	4.6
2014-05-25	32.4778	141.8074	18.52	4.5
2014-05-26	35.5879	140.3418	62.39	4.2
2014-05-26	34.5658	141.6781	19.51	4.5
2014-05-26	42.8744	145.4883	54.81	4.4
2014-05-26	29.6709	138.9985	400.28	4.1
2014-05-26	38.6996	142.2916	51.24	4.2
2014-05-27	44.6633	124.1042	14.41	4.3
2014-05-27	32.5	140.5882	76.79	5.3
2014-05-27	31.6269	131.4509	43.63	4.2
2014-05-28	36.8249	141.3305	20.57	4.5
2014-05-29	33.2844	139.3996	30.93	4.7
2014-05-29	36.9855	136.9749	263.62	4.2
2014-05-29	24.7206	123.2681	39.75	4.4
2014-05-30	24.8564	123.3341	10	4.4
2014-05-30	24.8115	123.0698	13.02	4.5
2014-05-30	43.1474	144.9381	76.29	4.4
2014-05-30	24.7822	123.1824	29.99	4
2014-05-31	36.2559	144.1691	34.47	4.5
2014-06-01	28.4383	142.8752	26.93	4.5
2014-06-01	34.0416	137.3837	330.18	4.3
2014-06-01	30.5315	131.5586	36.79	4.6
2014-06-01	44.5761	142.624	247.02	4
2014-06-02	38.0331	141.8215	39.61	4.1
2014-06-02	39.7124	142.5573	29.18	4.4
2014-06-03	33.7925	136.6011	380.18	4
2014-06-03	41.9112	142.5134	64.55	4.1
2014-06-03	37.1692	144.5877	35.93	4.6
2014-06-03	38.6278	142.4589	42.76	4.4
2014-06-03	36.4922	140.6147	59.97	4.6
2014-06-04	32.4174	141.5766	47.06	4.9
2014-06-04	32.4023	141.772	20.46	4.6
2014-06-05	28.2679	142.0381	33.66	4.4
2014-06-05	32.5008	141.9676	25.34	4.6
2014-06-05	38.6476	141.8626	58.19	4.3
2014-06-05	32.4276	141.7983	34.91	4.4
2014-06-06	36.4105	143.2158	29.69	4.2
2014-06-06	36.3971	143.6183	31.77	4.2
2014-06-06	35.6209	141.0874	14.74	4.5
2014-06-06	36.9384	141.3175	74.89	4.4
2014-06-07	45.7434	142.812	315.97	4.1
2014-06-07	28.62	142.053	18.72	4.4
2014-06-08	39.1635	141.7092	95.61	5.2
2014-06-08	34.5896	141.616	4.66	4.4
2014-06-08	34.6214	141.706	23.49	4.5
2014-06-08	28.4046	142.6124	19.13	4.8
2014-06-08	37.9008	141.3226	76.08	4.7
2014-06-08	40.9552	141.6429	89.53	4.6
2014-06-09	25.9938	124.7994	172.54	4.2
2014-06-09	40.125	142.1531	75.47	4.4
2014-06-09	34.9776	140.1875	53.67	4.8
2014-06-09	43.1363	139.3947	34.69	4.5
2014-06-09	28.4967	141.9511	50.8	4.7
2014-06-09	26.3101	141.8328	10	4.4
2014-06-11	27.7146	142.9989	34.3	4.7
2014-06-11	27.4266	129.286	30.59	5
2014-06-11	27.6381	142.6084	24.42	4.6
2014-06-11	35.0138	135.7234	10	4.4
2014-06-11	28.3833	142.5874	17.82	4.4
2014-06-12	32.4211	141.7902	19.11	4.6
2014-06-12	35.4519	141.5201	22.76	4.5
2014-06-13	30.6986	141.8353	47.19	5
2014-06-14	30.1299	138.7058	420.11	4.4
2014-06-14	39.4384	140.9876	92	5.5
2014-06-15	41.3879	131.9224	540.54	4
2014-06-15	37.0961	141.5966	15.18	4.6
2014-06-15	36.6041	141.7237	15.87	5.5
2014-06-15	37.0961	141.1141	45	5.6
2014-06-16	30.6152	137.6703	471.98	4.4
2014-06-16	33.8719	139.58	130.28	5.3
2014-06-16	29.313	142.6082	10	4.3
2014-06-16	28.7669	142.7177	32.95	4.6
2014-06-17	38.108	144.1217	23.14	4.7
2014-06-17	24.7607	123.2917	24.22	4.7
2014-06-18	24.2379	125.2142	30	5.2
2014-06-18	24.2199	125.1394	32.36	4.6
2014-06-18	32.5788	141.7777	10	4.3
2014-06-18	38.55	141.9331	56.47	4.6
2014-06-19	26.4437	127.1558	45.29	4.7
2014-06-19	37.2266	141.6994	29.82	4.4
2014-06-19	31.0091	131.4666	44.54	4.6
2014-06-19	35.4925	140.0306	65.77	4.7
2014-06-19	29.1339	142.4693	22.48	4.8
2014-06-20	38.1804	141.8129	51.15	4.5
2014-06-20	30.4605	142.0633	27.59	4.5
2014-06-20	31.2023	131.283	54.98	4.7
2014-06-21	28.3526	141.6126	65.97	4.5
2014-06-21	26.7721	126.2316	134.01	4.5
2014-06-22	34.2599	140.3575	85.86	4.2
2014-06-22	25.4866	141.1046	173.56	4.2
2014-06-22	36.733	141.2314	48.56	4.3
2014-06-22	27.7202	143.101	10	4.5
2014-06-22	28.2011	142.7999	15.14	4.7
2014-06-23	25.9384	142.2021	10	4.6
2014-06-23	38.7224	142.3468	62.21	4.3
2014-06-25	26.8708	142.5255	42.31	4.4
2014-06-25	36.0394	139.8683	50.1	4.5
2014-06-26	43.0823	145.5988	55.09	4.8
2014-06-26	34.0354	141.5008	37.72	4.5
2014-06-26	37.5996	141.7333	59.23	4.7
2014-06-27	36.2103	144.1294	35.19	5
2014-06-27	26.3686	126.9144	42.43	4.4
2014-06-27	39.6527	141.8042	92.45	4.3
2014-06-27	26.0545	142.8742	28.7	4.6
2014-06-28	29.9756	138.6274	410.97	4.1
2014-06-28	36.3694	138.9887	155.62	4.6
2014-06-28	35.9235	140.9747	39.11	4.8
2014-06-29	24.3877	142.6278	48	6.2
2014-06-29	37.4176	141.6057	43.03	4.4
2014-06-29	38.6761	142.5545	83.74	4.6
2014-06-30	28.7758	130.0326	44.72	4.6
2014-06-30	31.7362	140.4975	37.24	4.4
2014-06-30	28.3404	138.8441	511	6.2
2014-07-01	26.9686	129.2966	28.92	4.8
2014-07-01	42.893	139.6285	193.45	4.5
2014-07-01	31.1584	130.2481	169.03	4.7
2014-07-02	33.7526	142.4397	28.66	4.5
2014-07-02	27.1983	140.3997	336.87	4.2
2014-07-02	26.9538	129.4444	16.27	4.4
2014-07-02	26.0077	126.9728	55.98	4.5
2014-07-02	26.8767	130.0221	27.38	4.9
2014-07-02	26.2875	126.7659	45.89	4.3
2014-07-02	35.3716	140.0692	60.38	4.5
2014-07-02	36.6041	140.5234	11.99	4.5
2014-07-03	39.0256	142.4985	46.68	4.3
2014-07-03	25.9985	142.8392	6.16	4.5
2014-07-04	26.0899	142.1839	19.94	4.3
2014-07-04	37.2591	141.5868	46.87	4.6
2014-07-04	27.6346	139.9715	476.14	4.3
2014-07-04	24.9053	127.8614	10	4.1
2014-07-04	39.648	142.0802	50.31	5.7
2014-07-05	39.3958	142.5761	50	4.4
2014-07-05	24.3266	125.366	30.83	4.5
2014-07-05	39.7851	142.2669	9.33	4.1
2014-07-05	37.3439	141.7252	36.72	4.9
2014-07-05	42.1453	143.0106	59.97	4.8
2014-07-06	38.9878	142.397	55.49	4.3
2014-07-07	42.0035	142.3969	67.79	4.6
2014-07-07	28.0111	139.4775	505.97	4.2
2014-07-07	35.4244	140.835	50.37	4.7
